Date : 2021-07-25 13:40:42
Directory : /home/mahdi/Desktop/finwise/finwise
Total : 2851 files,  214348 codes, 15214 comments, 14006 blanks, all 243568 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| JavaScript   |        727 |     71,858 |      2,224 |      5,168 |     79,250 |
| Vue          |        186 |     47,792 |      3,589 |      1,442 |     52,823 |
| XML          |      1,309 |     38,357 |      1,074 |        514 |     39,945 |
| TypeScript   |        240 |     27,043 |      3,064 |      1,641 |     31,748 |
| SCSS         |        212 |     19,009 |      2,285 |      4,072 |     25,366 |
| JSON         |          7 |      4,744 |          0 |          2 |      4,746 |
| Python       |         61 |      3,413 |      1,089 |        754 |      5,256 |
| CSS          |         16 |      1,124 |         38 |         92 |      1,254 |
| NGINX Conf   |          6 |        272 |      1,810 |        238 |      2,320 |
| Django HTML  |         65 |        268 |          0 |         12 |        280 |
| Django txt   |          7 |        184 |          0 |         17 |        201 |
| YAML         |          2 |        182 |          6 |         20 |        208 |
| Docker       |          5 |         43 |         27 |         13 |         83 |
| Markdown     |          2 |         37 |          0 |         16 |         53 |
| Shell Script |          3 |         13 |          8 |          3 |         24 |
| Ini          |          3 |          9 |          0 |          2 |         11 |
+--------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                         | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                            |      2,851 |    214,348 |     15,214 |     14,006 |    243,568 |
| backend                                                                                                                                                      |         74 |      3,601 |      1,097 |        772 |      5,470 |
| backend/api                                                                                                                                                  |          8 |        641 |        222 |        125 |        988 |
| backend/backend                                                                                                                                              |          9 |        271 |        178 |        113 |        562 |
| backend/requestcall                                                                                                                                          |         23 |      1,904 |        545 |        380 |      2,829 |
| backend/requestcall/util                                                                                                                                     |          4 |        154 |          5 |         46 |        205 |
| backend/scripts                                                                                                                                              |          4 |         22 |          8 |          3 |         33 |
| backend/scripts/dev                                                                                                                                          |          1 |          9 |          0 |          0 |          9 |
| backend/users                                                                                                                                                |         14 |        145 |         54 |         53 |        252 |
| backend/users/auth                                                                                                                                           |          1 |         21 |          2 |          5 |         28 |
| backend/users/templates                                                                                                                                      |          4 |         11 |          0 |         10 |         21 |
| backend/users/templates/email                                                                                                                                |          4 |         11 |          0 |         10 |         21 |
| backend/users/utils                                                                                                                                          |          1 |         12 |          2 |          3 |         17 |
| backend/websocket                                                                                                                                            |         10 |        448 |         88 |         88 |        624 |
| frontend                                                                                                                                                     |      2,760 |    210,247 |     12,292 |     12,963 |    235,502 |
| frontend/public                                                                                                                                              |      1,286 |     32,965 |      1,208 |        450 |     34,623 |
| frontend/public/charting_library                                                                                                                             |         59 |      2,963 |        207 |          8 |      3,178 |
| frontend/public/charting_library/static                                                                                                                      |         56 |      1,540 |         78 |          2 |      1,620 |
| frontend/public/charting_library/static/bundles                                                                                                              |         19 |      1,089 |         77 |          1 |      1,167 |
| frontend/public/charting_library/static/fonts                                                                                                                |          1 |        414 |          0 |          0 |        414 |
| frontend/public/charting_library/static/images                                                                                                               |          5 |          5 |          0 |          1 |          6 |
| frontend/public/charting_library/static/images/svg                                                                                                           |          5 |          5 |          0 |          1 |          6 |
| frontend/public/charting_library/static/images/svg/chart                                                                                                     |          4 |          4 |          0 |          0 |          4 |
| frontend/public/charting_library/static/lib                                                                                                                  |          1 |          2 |          1 |          0 |          3 |
| frontend/public/charting_library/static/lib/external                                                                                                         |          1 |          2 |          1 |          0 |          3 |
| frontend/public/media                                                                                                                                        |      1,226 |     29,981 |      1,001 |        441 |     31,423 |
| frontend/public/media/bg                                                                                                                                     |          1 |          6 |          1 |          2 |          9 |
| frontend/public/media/svg                                                                                                                                    |      1,225 |     29,975 |      1,000 |        439 |     31,414 |
| frontend/public/media/svg/avatars                                                                                                                            |         50 |      5,180 |         50 |         50 |      5,280 |
| frontend/public/media/svg/files                                                                                                                              |         10 |        666 |         10 |         10 |        686 |
| frontend/public/media/svg/flags                                                                                                                              |        281 |     14,817 |        281 |        296 |     15,394 |
| frontend/public/media/svg/humans                                                                                                                             |         13 |        253 |          0 |         13 |        266 |
| frontend/public/media/svg/icons                                                                                                                              |        643 |      7,234 |        643 |          1 |      7,878 |
| frontend/public/media/svg/icons/Clothes                                                                                                                      |         16 |        171 |         16 |          0 |        187 |
| frontend/public/media/svg/icons/Code                                                                                                                         |         33 |        371 |         33 |          0 |        404 |
| frontend/public/media/svg/icons/Communication                                                                                                                |         60 |        666 |         60 |          0 |        726 |
| frontend/public/media/svg/icons/Cooking                                                                                                                      |         25 |        294 |         25 |          0 |        319 |
| frontend/public/media/svg/icons/Design                                                                                                                       |         59 |        670 |         59 |          0 |        729 |
| frontend/public/media/svg/icons/Devices                                                                                                                      |         53 |        626 |         53 |          0 |        679 |
| frontend/public/media/svg/icons/Electric                                                                                                                     |         16 |        172 |         16 |          0 |        188 |
| frontend/public/media/svg/icons/Files                                                                                                                        |         40 |        458 |         40 |          0 |        498 |
| frontend/public/media/svg/icons/Food                                                                                                                         |         25 |        291 |         25 |          0 |        316 |
| frontend/public/media/svg/icons/General                                                                                                                      |         44 |        486 |         44 |          0 |        530 |
| frontend/public/media/svg/icons/Home                                                                                                                         |         52 |        592 |         52 |          0 |        644 |
| frontend/public/media/svg/icons/Layout                                                                                                                       |         17 |        185 |         17 |          1 |        203 |
| frontend/public/media/svg/icons/Map                                                                                                                          |          7 |         72 |          7 |          0 |         79 |
| frontend/public/media/svg/icons/Media                                                                                                                        |         34 |        378 |         34 |          0 |        412 |
| frontend/public/media/svg/icons/Navigation                                                                                                                   |         43 |        482 |         43 |          0 |        525 |
| frontend/public/media/svg/icons/Navigation/Stockholm-icons                                                                                                   |          1 |         10 |          1 |          0 |         11 |
| frontend/public/media/svg/icons/Navigation/Stockholm-icons/Navigation                                                                                        |          1 |         10 |          1 |          0 |         11 |
| frontend/public/media/svg/icons/Shopping                                                                                                                     |         42 |        476 |         42 |          0 |        518 |
| frontend/public/media/svg/icons/Text                                                                                                                         |         28 |        300 |         28 |          0 |        328 |
| frontend/public/media/svg/icons/Tools                                                                                                                        |         15 |        169 |         15 |          0 |        184 |
| frontend/public/media/svg/icons/Weather                                                                                                                      |         34 |        375 |         34 |          0 |        409 |
| frontend/public/media/svg/illustrations                                                                                                                      |         11 |        882 |          2 |          8 |        892 |
| frontend/public/media/svg/logos                                                                                                                              |        186 |        354 |          5 |          6 |        365 |
| frontend/public/media/svg/misc                                                                                                                               |         16 |        376 |          9 |         40 |        425 |
| frontend/public/media/svg/patterns                                                                                                                           |          4 |        102 |          0 |          4 |        106 |
| frontend/public/media/svg/shapes                                                                                                                             |         10 |        105 |          0 |         10 |        115 |
| frontend/public/media/svg/social-icons                                                                                                                       |          1 |          6 |          0 |          1 |          7 |
| frontend/src                                                                                                                                                 |      1,465 |    177,054 |     11,019 |     12,488 |    200,561 |
| frontend/src/assets                                                                                                                                          |      1,238 |    115,640 |      6,808 |     10,778 |    133,226 |
| frontend/src/assets/charting_library                                                                                                                         |         59 |      2,963 |        207 |          8 |      3,178 |
| frontend/src/assets/charting_library/static                                                                                                                  |         56 |      1,540 |         78 |          2 |      1,620 |
| frontend/src/assets/charting_library/static/bundles                                                                                                          |         19 |      1,089 |         77 |          1 |      1,167 |
| frontend/src/assets/charting_library/static/fonts                                                                                                            |          1 |        414 |          0 |          0 |        414 |
| frontend/src/assets/charting_library/static/images                                                                                                           |          5 |          5 |          0 |          1 |          6 |
| frontend/src/assets/charting_library/static/images/svg                                                                                                       |          5 |          5 |          0 |          1 |          6 |
| frontend/src/assets/charting_library/static/images/svg/chart                                                                                                 |          4 |          4 |          0 |          0 |          4 |
| frontend/src/assets/charting_library/static/lib                                                                                                              |          1 |          2 |          1 |          0 |          3 |
| frontend/src/assets/charting_library/static/lib/external                                                                                                     |          1 |          2 |          1 |          0 |          3 |
| frontend/src/assets/css                                                                                                                                      |          1 |          2 |          4 |          0 |          6 |
| frontend/src/assets/font                                                                                                                                     |          1 |         27 |          0 |          0 |         27 |
| frontend/src/assets/js                                                                                                                                       |         34 |      4,509 |      1,088 |      1,301 |      6,898 |
| frontend/src/assets/js/components                                                                                                                            |         11 |      3,123 |        974 |        905 |      5,002 |
| frontend/src/assets/js/layout                                                                                                                                |         23 |      1,386 |        114 |        396 |      1,896 |
| frontend/src/assets/js/layout/base                                                                                                                           |         12 |        575 |         64 |        183 |        822 |
| frontend/src/assets/js/layout/extended                                                                                                                       |         11 |        811 |         50 |        213 |      1,074 |
| frontend/src/assets/plugins                                                                                                                                  |        952 |     89,700 |      3,261 |      5,514 |     98,475 |
| frontend/src/assets/plugins/flaticon                                                                                                                         |          3 |      3,050 |          7 |          6 |      3,063 |
| frontend/src/assets/plugins/flaticon/font                                                                                                                    |          1 |      2,699 |          3 |          1 |      2,703 |
| frontend/src/assets/plugins/flaticon2                                                                                                                        |          3 |      1,829 |          7 |          7 |      1,843 |
| frontend/src/assets/plugins/flaticon2/font                                                                                                                   |          1 |      1,487 |          3 |          2 |      1,492 |
| frontend/src/assets/plugins/formvalidation                                                                                                                   |        874 |     81,280 |      3,172 |      5,424 |     89,876 |
| frontend/src/assets/plugins/formvalidation/dist                                                                                                              |        616 |     56,471 |        329 |      3,662 |     60,462 |
| frontend/src/assets/plugins/formvalidation/dist/amd                                                                                                          |        236 |     25,112 |          0 |        236 |     25,348 |
| frontend/src/assets/plugins/formvalidation/dist/amd/algorithms                                                                                               |          6 |        118 |          0 |          6 |        124 |
| frontend/src/assets/plugins/formvalidation/dist/amd/core                                                                                                     |          5 |        597 |          0 |          5 |        602 |
| frontend/src/assets/plugins/formvalidation/dist/amd/filters                                                                                                  |          2 |         34 |          0 |          2 |         36 |
| frontend/src/assets/plugins/formvalidation/dist/amd/locales                                                                                                  |         39 |     14,742 |          0 |         39 |     14,781 |
| frontend/src/assets/plugins/formvalidation/dist/amd/plugins                                                                                                  |         44 |      3,626 |          0 |         44 |      3,670 |
| frontend/src/assets/plugins/formvalidation/dist/amd/utils                                                                                                    |          8 |        200 |          0 |          8 |        208 |
| frontend/src/assets/plugins/formvalidation/dist/amd/validators                                                                                               |        131 |      5,781 |          0 |        131 |      5,912 |
| frontend/src/assets/plugins/formvalidation/dist/amd/validators/id                                                                                            |         42 |      1,942 |          0 |         42 |      1,984 |
| frontend/src/assets/plugins/formvalidation/dist/amd/validators/vat                                                                                           |         38 |      1,524 |          0 |         38 |      1,562 |
| frontend/src/assets/plugins/formvalidation/dist/css                                                                                                          |          4 |        367 |         18 |         73 |        458 |
| frontend/src/assets/plugins/formvalidation/dist/es6                                                                                                          |        236 |        236 |          0 |          0 |        236 |
| frontend/src/assets/plugins/formvalidation/dist/es6/algorithms                                                                                               |          6 |          6 |          0 |          0 |          6 |
| frontend/src/assets/plugins/formvalidation/dist/es6/core                                                                                                     |          5 |          5 |          0 |          0 |          5 |
| frontend/src/assets/plugins/formvalidation/dist/es6/filters                                                                                                  |          2 |          2 |          0 |          0 |          2 |
| frontend/src/assets/plugins/formvalidation/dist/es6/locales                                                                                                  |         39 |         39 |          0 |          0 |         39 |
| frontend/src/assets/plugins/formvalidation/dist/es6/plugins                                                                                                  |         44 |         44 |          0 |          0 |         44 |
| frontend/src/assets/plugins/formvalidation/dist/es6/utils                                                                                                    |          8 |          8 |          0 |          0 |          8 |
| frontend/src/assets/plugins/formvalidation/dist/es6/validators                                                                                               |        131 |        131 |          0 |          0 |        131 |
| frontend/src/assets/plugins/formvalidation/dist/es6/validators/id                                                                                            |         42 |         42 |          0 |          0 |         42 |
| frontend/src/assets/plugins/formvalidation/dist/es6/validators/vat                                                                                           |         38 |         38 |          0 |          0 |         38 |
| frontend/src/assets/plugins/formvalidation/dist/js                                                                                                           |        140 |     30,756 |        311 |      3,353 |     34,420 |
| frontend/src/assets/plugins/formvalidation/dist/js/locales                                                                                                   |         78 |     14,898 |        156 |        195 |     15,249 |
| frontend/src/assets/plugins/formvalidation/dist/js/plugins                                                                                                   |         58 |      4,469 |        145 |      1,067 |      5,681 |
| frontend/src/assets/plugins/formvalidation/src                                                                                                               |        257 |     24,769 |      2,843 |      1,748 |     29,360 |
| frontend/src/assets/plugins/formvalidation/src/css                                                                                                           |         21 |        570 |         37 |        117 |        724 |
| frontend/src/assets/plugins/formvalidation/src/css/plugins                                                                                                   |         19 |        547 |         30 |        112 |        689 |
| frontend/src/assets/plugins/formvalidation/src/js                                                                                                            |        236 |     24,199 |      2,806 |      1,631 |     28,636 |
| frontend/src/assets/plugins/formvalidation/src/js/algorithms                                                                                                 |          6 |         92 |         64 |         25 |        181 |
| frontend/src/assets/plugins/formvalidation/src/js/core                                                                                                       |          5 |        679 |        182 |        121 |        982 |
| frontend/src/assets/plugins/formvalidation/src/js/filters                                                                                                    |          2 |         30 |         17 |          9 |         56 |
| frontend/src/assets/plugins/formvalidation/src/js/locales                                                                                                    |         39 |     14,586 |        156 |         78 |     14,820 |
